test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
asym,24.0,3.0,1.1102230246251565e-16,2.220446049250313e-16,0.8871315327490188,0.9962679453075332,4.702597064664645,0.9312138537909186,0.9251444879489408,-2.5688953473776337,1.4115913550094843,3.1384479161988126,-0.5204103416083112,[ 5.86186186 12.01201201 18.21021021],[0.57286863 0.89118101 0.42408742],[],[],0.5247583987095724,0.2629749782512488
asym_damped,24.0,3.0,1.1102230246251565e-16,2.220446049250313e-16,0.279298137260801,0.7447950326954693,6.353658809955771,0.5733114071810748,0.5486947575953676,1.2555375050455382,0.4305538001707915,-0.16352634433100022,0.15421337741600383,[0.62462462],[0.58476184],[ 6.63063063 12.34834835 18.97897898],[-0.2256869  -0.27634042 -0.10497441],0.4901468409374373,0.2471697254371005
asym_forced,24.0,3.0,1.6653345369377348e-15,2.6645352591003757e-15,0.5382566120251122,0.9962679453075332,2673.9863048846632,0.5374547004796382,0.5107693947380788,-334.0918238144848,8.229102503651452,1.7044476659115793,-3.3359206785184927,[ 4.8048048  11.1951952  17.48948949],[2.23967263 4.48866826 4.89309403],[23.20720721],[-11.56502318],10.05527268184171,5.070641653453451
asym_lin_comp,24.0,2.0,5.657010934712048e-05,7.145698022794166e-05,0.26165819100453847,0.7447950326954693,193.79873993182179,0.29440966215617914,0.2540902142793894,-142.0203431403292,1.6458217317797956,0.3836579616996545,2.7003274203941734,[22.53453453],[4.34614915],[ 6.24624625 15.13513514],[1.05453027 1.90894827],3.3185380466880994,1.6638970603969028
sym,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.9962679453075332,0.9962679453075332,3.4028734475348434,0.9149633409788563,0.9126012115616023,9.562156529985188,0.9704234736693447,3.125868966634889,-0.0033743887734882794,[12.06006006],[0.96704908],[0.04804805],[-0.97379786],0.43337609646020786,0.21739855384928786
sym_damped,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.7490290235137829,0.9962679453075332,4.876229945477278,0.5740305343145387,0.566142210875919,15.94408250003687,0.33980623089793605,-0.06289474781961513,0.008385593421111392,[0.24024024],[0.34819182],[12.25225225],[-0.33141466],0.42118400784465304,0.2124859460598224
sym_forced,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.7850698178612479,0.9962679453075332,1807.5066673701167,0.524889779061654,0.5160914416368698,-312.35680318556126,5.923971349829098,-3.0692636935972355,-0.06776883066751438,[11.72372372],[5.85616437],[23.68768769],[-5.99166116],8.109045518552016,4.090986781452563
sym_lin_comp,24.0,1.0,0.0003636052547617563,0.000396660277921916,0.7147193923635587,0.9962679453075332,203.06278702698478,0.19746875718673984,0.17517622266414934,-143.7714067422075,1.1421698412923313,0.45913165908319264,2.2927383942613853,[22.24624625],[3.43488724],[10.23423423],[1.15056855],3.347782429716673,1.6793797922107732
