gen,test(noise),test(lin_comp),test(amplification),test(n_components),amplitude0,acrophase0,amplification0,lin_comp0,test,amplitude,acrophase,amplification,lin_comp,p,n_components
0.0,0.1,0.0,0.0,1.0,0.9999982659231132,1.490605523324887,0.0,0.0,test_0,1.011400550352697,1.490605523324887,-9.99999631594101e-11,9.999998899255198e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985727049028,1.1132370364071944,0.0,0.0,test_1,0.9762107336470623,1.1132370364071944,9.999990126861528e-11,-9.99999516930708e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987136665128,3.075553168379197,0.0,0.0,test_2,1.029290704054,3.0629742188152735,-9.999998663819423e-11,-9.999998882690863e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999979845359828,-2.654158357987773,0.0,0.0,test_3,0.9790015203263364,-2.6667373075516956,-9.999999959974212e-11,-9.999998474265451e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998674431422,3.075553168379197,0.0,0.0,test_4,1.0284908762587048,3.075553168379197,9.999998925935487e-11,9.999995080179364e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976161488002,-0.6666843268879239,0.0,0.0,test_5,1.0206585179568708,-0.6792632764518469,-9.999999218241544e-11,-9.999998329254544e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998616830562,-3.0315268449054664,0.0,0.0,test_6,0.9473570060972212,-3.00636894577762,-9.999998389369213e-11,-9.999996654464541e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986075818216,-1.3082107546480015,0.0,0.0,test_7,0.9945446390273572,-1.3207897042119248,9.999995469695385e-11,9.999956984681684e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999978927322432,-1.3585265529036947,0.0,0.0,test_8,1.0109923307233513,-1.3459476033397708,-9.999998266187268e-11,-9.999999000183891e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999980585537416,1.1383949355350405,0.0,0.0,test_9,1.0259376249802434,1.1258159859711163,9.999997613903663e-11,-9.999997680336464e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987457552602,-0.5031579825569237,0.0,0.0,test_10,0.982879134733896,-0.5031579825569237,9.999999227025141e-11,9.999998810946616e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985668733876,0.5597632555945777,0.0,0.0,test_11,1.008522196037709,0.5597632555945777,9.999997694740931e-11,9.99999666425004e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987055373069,-0.5408948312486928,0.0,0.0,test_12,0.9978605255818441,-0.5534737808126167,-9.999999199106456e-11,-9.99999798801396e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999981103031804,0.6478159025420398,0.0,0.0,test_13,1.0223153141171362,0.6478159025420398,9.999988984788636e-11,9.999993391211044e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999979169743404,-3.056684744033312,0.0,0.0,test_14,1.0145588961727376,-3.056684744033312,9.999998155628877e-11,9.999987505028438e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976410764184,-1.1195265111891557,0.0,0.0,test_15,0.9964017034089848,-1.1069475616252324,-9.999997051213881e-11,-9.999996563724398e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982319989222,1.0000264903318865,0.0,0.0,test_16,1.0134485886696312,1.012605439895809,-9.99999487400989e-11,-9.999998834688709e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999981381468392,-1.0943686120613094,0.0,0.0,test_17,0.9843707871308932,-1.0692107129334634,9.999998881095719e-11,9.999996580659054e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999983899257214,3.08813211794312,0.0,0.0,test_18,0.9992910511934874,3.08813211794312,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986552413821,-1.9371582328441568,0.0,0.0,test_19,0.983030230946642,-1.94973718240808,-9.999998937192777e-11,-9.999998212511564e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999978454587204,0.6855527512338089,0.0,0.0,test_20,0.9982083666906316,0.6855527512338089,9.999997756133312e-11,9.999996190329264e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999975475644158,-1.987474031099849,0.0,0.0,test_21,0.9928458679210912,-2.000052980663773,9.999994874489028e-11,-9.999996530863184e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999979148933672,2.081816152829272,0.0,0.0,test_22,1.0362500531207428,2.094395102393196,9.99999698284048e-11,-9.999995246293101e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999980507548458,2.622710984077965,0.0,0.0,test_23,0.9877390131645588,2.6352899336418885,9.999998738330149e-11,9.999985914403566e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985371855766,-2.2264740728143884,0.0,0.0,test_24,0.975572343255648,-2.239053022378311,9.999941214449871e-11,-9.999993615703271e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987162761452,2.6352899336418885,0.0,0.0,test_25,0.991505992173432,2.5975530849501194,9.999998837892005e-11,9.99999840077394e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999997849631584,2.1447109006488887,0.0,0.0,test_26,1.0148370795277248,2.1069740519571187,9.999998060747637e-11,9.999998178149836e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976607809488,1.6541318676558872,0.0,0.0,test_27,1.0078828674813445,1.6541318676558872,9.999995428817012e-11,9.99999753627672e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982091006914,-1.2453160068283866,0.0,0.0,test_28,0.9943928139749536,-1.2704739059562329,-9.999997812726044e-11,-9.99999395003651e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998355054564,1.0251843894597332,0.0,0.0,test_29,0.9725786014197784,1.0000264903318865,-9.999998642556749e-11,9.999991369884544e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987600140938,-0.5283158816847697,0.0,0.0,test_30,0.985098938854659,-0.5660527303765397,-9.999998767817492e-11,-9.999998529266156e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987617310993,2.3333951441077345,0.0,0.0,test_31,0.9984669462464012,2.3333951441077345,-9.999999104204907e-11,-9.999997204823812e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999981901756176,3.05039526925135,0.0,0.0,test_32,1.000713747664575,3.05039526925135,9.999995160605884e-11,9.999997869204341e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999978824903474,1.641552918091964,0.0,0.0,test_33,1.0030674773070791,1.641552918091964,9.999994597249756e-11,-9.99999807530041e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999979747799328,2.4591846397469657,0.0,0.0,test_34,0.9793880802891958,2.434026740619119,-9.999999248849323e-11,-9.99999924196762e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998633589818,-1.0943686120613094,0.0,0.0,test_35,1.0194508257757156,-1.1069475616252324,-9.999996377465845e-11,-9.999995998775612e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987401801328,2.987500521431735,0.0,0.0,test_36,1.0070337584897389,3.0126584205595823,-9.999998906202856e-11,-9.99999836417676e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987103689398,2.8994478744842738,0.0,0.0,test_37,0.9709413136293434,2.861711025792504,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987556641194,-0.9182633181663862,0.0,0.0,test_38,0.9800745546073262,-0.9308422677303092,-9.999995091371072e-11,-9.999995921646588e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999983896807346,0.7610264486173479,0.0,0.0,test_39,1.000620500008896,0.7610264486173479,9.999976908470894e-11,-9.999995180666916e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987206440809,3.075553168379197,0.0,0.0,test_40,1.0086549438840329,3.0629742188152735,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985902113898,-2.9937899962136965,0.0,0.0,test_41,1.0121774593048771,-2.981211046649773,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.99999765926929,-0.11321054607530813,0.0,0.0,test_42,0.9938688535203686,-0.13836844520315414,9.999998429393079e-11,9.999998635132436e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987615584938,2.220184598032427,0.0,0.0,test_43,0.987842695770503,2.232763547596349,-9.99996744997397e-11,-9.999996474014421e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999981806786792,0.01886842434588409,0.0,0.0,test_44,0.9974051508752918,0.006289474781961069,9.999997993001472e-11,9.999998444567112e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999980083390144,-1.673000292001772,0.0,0.0,test_45,1.0159430805525107,-1.6855792415656952,9.999997748828122e-11,9.999998403047741e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998750977376,0.4968685077749626,0.0,0.0,test_46,1.021050923957484,0.4842895582110396,9.999997581109643e-11,9.999996103483327e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987313175632,1.4654476241970409,0.0,0.0,test_47,1.0024310593559576,1.4654476241970409,9.999998362175872e-11,9.999984072355931e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987155872432,0.6352369529781168,0.0,0.0,test_48,0.9897762104517804,0.6226580034141929,9.99999849743144e-11,9.999998683772414e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982913089068,-0.3773684869176925,0.0,0.0,test_49,1.0096743260984258,-0.3647895373537695,-9.999998913170587e-11,-9.999995921292495e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999981278776084,-0.2012631930227693,0.0,0.0,test_50,0.9802993081684084,-0.18868424345884627,9.999998816915913e-11,9.999998727972956e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987254823196,-1.2830528555201557,0.0,0.0,test_51,0.9818625862920458,-1.2830528555201557,9.99999969273333e-11,9.999999161615e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999977938883268,-1.9748950815359256,0.0,0.0,test_52,0.9721629380918521,-1.9623161319720024,-9.999998790835804e-11,-9.999998486672018e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987351665559,3.1384479161988126,0.0,0.0,test_53,1.0156904460655591,-3.132158441416851,-9.999999694196305e-11,-9.999999044554913e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987636112128,-2.239053022378311,0.0,0.0,test_54,0.9843048038796832,-2.2516319719422335,9.999999199780571e-11,9.999999086479329e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986592012091,-2.452895164965004,0.0,0.0,test_55,1.0139281039516974,-2.452895164965004,-9.999999122877088e-11,-9.999998647898787e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987026891122,2.4591846397469657,0.0,0.0,test_56,1.0128353775389467,2.4591846397469657,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999977536344606,-0.5031579825569237,0.0,0.0,test_57,1.0271376515527613,-0.4780000834290776,9.999996809602243e-11,9.99999816182328e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999980577235029,-0.8050527720910781,0.0,0.0,test_58,1.0124517397204476,-0.8176317216550011,9.999999443921829e-11,9.999999270002408e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999979914523752,-1.987474031099849,0.0,0.0,test_59,0.9782602306979552,-1.987474031099849,9.999995887251393e-11,9.999996813830572e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986597287416,-2.9057373492662357,0.0,0.0,test_60,1.006873641061365,-2.9183162988301583,9.999992178635642e-11,9.999996089330562e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998711190476,-2.44031621540108,0.0,0.0,test_61,1.0029579725638484,-2.4277372658371577,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999983099033832,1.7799213632951183,0.0,0.0,test_62,0.96687653997196,1.7799213632951183,-9.999999253783229e-11,-9.999998255092166e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999980177852772,0.6603948521059619,0.0,0.0,test_63,1.0153020840406852,0.6603948521059619,-9.999997241233158e-11,-9.999996680021128e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999984276097488,-0.6792632764518469,0.0,0.0,test_64,1.0262107751392782,-0.6666843268879239,9.999998535281381e-11,9.999998574268313e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998213232652,0.04402632347373103,0.0,0.0,test_65,1.0216208762277708,0.056605273037654065,-9.999997160952098e-11,-9.999996821736505e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976822091752,1.2641844311742716,0.0,0.0,test_66,0.9768370987800996,1.2390265320464249,-9.999999057727072e-11,-9.999995613178182e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986179755358,-1.5094739476707721,0.0,0.0,test_67,1.0071733770945146,-1.5094739476707721,-9.999986636003751e-11,9.999994166818599e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987633520856,1.8679740102425804,0.0,0.0,test_68,0.990734519004832,1.8679740102425804,-9.99999938886972e-11,-9.999998811933687e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998569358444,-1.8742634850245412,0.0,0.0,test_69,0.9752065748185922,-1.8491055858966945,-9.999998790288826e-11,-9.999997632355957e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986658978643,2.748500479717197,0.0,0.0,test_70,1.00717651870662,2.7359215301532727,9.999999519373691e-11,9.999998835222442e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985353283672,2.094395102393196,0.0,0.0,test_71,0.983947365018063,2.081816152829272,-9.999999092098876e-11,-9.999997872618224e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999978851580008,-0.07547369738353815,0.0,0.0,test_72,0.996211751058055,-0.06289474781961513,9.99999719800742e-11,-9.999953812807572e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986769684268,0.04402632347373103,0.0,0.0,test_73,1.0177900110716511,0.056605273037654065,-9.999998603856323e-11,-9.999997762087504e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986813594004,-3.132158441416851,0.0,0.0,test_74,1.0162737789257434,-3.119579491852928,-9.999988864714491e-11,9.999995676994723e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999975744046083,-2.8302636518826967,0.0,0.0,test_75,0.9999717641156708,-2.8302636518826967,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998728654812,2.1069740519571187,0.0,0.0,test_76,0.9935381858212228,2.1069740519571187,-9.999999148831895e-11,-9.999998590683959e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982065546908,2.8868689249203503,0.0,0.0,test_77,0.9632457728977932,2.8868689249203503,-9.999993789173372e-11,9.999988159311288e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999997912968562,-0.8302106712189241,0.0,0.0,test_78,1.0100660100870469,-0.8302106712189241,-9.999997085966985e-11,9.999995087481813e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999987205697471,-1.1950002085726936,0.0,0.0,test_79,0.9996108382147099,-1.1950002085726936,-9.999996401281331e-11,-9.999995745935446e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986723721416,-2.717053105807389,0.0,0.0,test_80,1.0011577855088396,-2.7422110049352346,9.999998872430266e-11,9.9999989255684e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999984042823012,1.4025528763774258,0.0,0.0,test_81,1.0104410577235377,1.3899739268135018,9.999989486868076e-11,9.999995358852468e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985217193283,1.2264475824825023,0.0,0.0,test_82,1.009232471496065,1.2390265320464249,9.999997839675076e-11,9.999992256819508e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982393983736,-0.69184222601577,0.0,0.0,test_83,0.9668574173536361,-0.69184222601577,9.999996637378986e-11,9.999997892836417e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986941709301,-0.27673689040630833,0.0,0.0,test_84,0.996898997278386,-0.27673689040630833,9.999998337078734e-11,9.999995767679592e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999977711006632,1.528342372016657,0.0,0.0,test_85,1.0046448422902392,1.540921321580579,9.999996924093165e-11,9.999998008764899e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999985002838068,2.320816194543811,0.0,0.0,test_86,1.0056458026393529,2.320816194543811,9.999999123150502e-11,9.999998432302891e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998102630946,0.6226580034141929,0.0,0.0,test_87,1.0388648770369089,0.6352369529781168,-9.99999431519112e-11,9.999898055828252e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986616792842,-2.9308952483940813,0.0,0.0,test_88,1.031691923168016,-2.9183162988301583,-9.999999413279714e-11,-9.999992923771251e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982515421116,-2.062947728483388,0.0,0.0,test_89,1.0039174883085915,-2.0755266780473107,9.9999987334102e-11,9.999998671102284e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999983203915728,-1.8742634850245412,0.0,0.0,test_90,1.0057440824289396,-1.8868424345884645,-9.999998355820959e-11,-9.999998399291672e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998727053876,1.4151318259413488,0.0,0.0,test_91,0.9802320717775176,1.427710775505271,9.999995157895963e-11,9.999992923322222e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986391420428,2.421447791055196,0.0,0.0,test_92,1.0238316260730311,2.446605690183042,9.999982135761936e-11,-9.999993507442419e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976758698372,-0.2390000417145384,0.0,0.0,test_93,1.00843072557659,-0.2641579408423853,0.0,0.0,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998644240109,-0.13836844520315414,0.0,0.0,test_94,1.0140266754511575,-0.13836844520315414,9.999998839685394e-11,9.999996956675235e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999976978253108,-2.8680005005744658,0.0,0.0,test_95,1.0183424041919262,-2.893158399702312,9.999995389459852e-11,9.999998055888169e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999983195385004,-0.07547369738353815,0.0,0.0,test_96,0.9908802748365856,-0.06289474781961513,9.999995664415676e-11,9.999995077819524e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986933777438,1.3773949772495788,0.0,0.0,test_97,1.0220329980628386,1.3899739268135018,9.99999898529522e-11,9.999996155008582e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.999998568959692,-0.3773684869176925,0.0,0.0,test_98,1.0237242632874035,-0.3899474364816156,-9.999998538745224e-11,-9.999997896336815e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999986017620156,2.685605731897581,0.0,0.0,test_99,0.9889247735515536,2.685605731897581,9.999998583433021e-11,9.999998797032264e-11,1.1102230246251563e-16,1.0
0.0,0.1,0.0,0.0,1.0,0.9999982659231132,1.490605523324887,0.0,0.0,test_0,1.0289657290902838,1.5157634224527332,-9.999997449155208e-11,9.999999009806e-11,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.9999985727049028,1.1132370364071944,0.0,0.0,test_1,0.9323260955005112,1.1258159859711163,9.999996063394031e-11,-9.999993932093523e-11,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.9999987136665128,3.075553168379197,0.0,0.0,test_2,1.0108304995359862,3.0126584205595823,-9.99999885205366e-11,-9.999998353710644e-11,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.9999979845359828,-2.654158357987773,0.0,0.0,test_3,0.997012442755367,-2.691895206679542,0.0,0.0,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.999998674431422,3.075553168379197,0.0,0.0,test_4,1.0067635604335012,-3.132158441416851,9.999999938880412e-11,9.999996142490731e-11,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.9999976161488002,-0.6666843268879239,0.0,0.0,test_5,1.058906735847826,-0.7421580242714629,-9.999998676711321e-11,-9.999997487558942e-11,1.1102230246251563e-16,3.0
0.0,0.1,0.0,0.0,1.0,0.999998616830562,-3.0315268449054664,0.0,0.0,test_6,0.9364854646612504,-3.0818426431611585,-9.999999834430732e-11,-9.999993388522473e-11,1.1102230246251563e-16,3.0
