test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),amplification,p(amplification),q(amplification),CI(amplification),lin_comp,p(lin_comp),q(lin_comp),CI(lin_comp)
sym,24.0,1.1102230246251565e-16,1.2688263138573217e-16,0.8627718349311723,0.0,0.0,"[0.7372139278697516, 0.9883297419925929]",3.141592653581709,0.0,0.0,"[3.063773227130307, 3.219412080033111]",0.004788295037495762,0.05530234554974789,0.08848375287959662,"[-0.00011160240822076506, 0.00968819248321229]",0.0034332415752605064,0.07758086797937147,0.20688231461165726,"[-0.0003895082816313838, 0.007255991432152397]"
sym_lin_comp,24.0,6.661338147750939e-16,6.661338147750939e-16,1.0707633167696433,0.0031016438451683115,0.003544735823049499,"[0.3737336278753439, 1.7677930056639428]",-0.17378969974392147,0.36243869769548276,0.48325159692731035,"[-0.5518919425469989, 0.204312543059156]",-0.0013599755078413226,0.9098553999791319,0.9098553999791319,"[-0.025230046049080943, 0.022510095033398295]",0.09337641370091967,5.262457136723242e-14,2.1049828546892968e-13,"[0.0735277245414441, 0.11322510286039525]"
asym,24.0,1.1102230246251565e-16,1.2688263138573217e-16,1.1935136121688368,4.658758490094783e-09,9.317516980189566e-09,"[0.8374456767698031, 1.5495815475678705]",-3.079081100407925,0.0,0.0,"[-3.2563926139295334, -2.9017695868863167]",-0.0033922197552171255,0.5460448852298168,0.6240512974055049,"[-0.01454453838130705, 0.007760098870872799]",0.0008740448227140763,0.8605133184052542,0.8605133184052542,"[-0.009009933369483988, 0.010758023014912141]"
asym_lin_comp,24.0,1.1102230246251565e-16,1.2688263138573217e-16,1.3060692030410872,0.0005612077178300812,0.0007482769571067749,"[0.5855880691550578, 2.0265503369271167]",0.015663021094003707,0.9316180920273351,0.9316180920273351,"[-0.34708039022894505, 0.37840643241695243]",-0.011612221572656792,0.325099783483902,0.433466377978536,"[-0.034982443418408296, 0.011758000273094715]",0.10316091183213172,0.0,0.0,"[0.08459493579983793, 0.12172688786442551]"
sym_damped,24.0,1.1102230246251565e-16,1.2688263138573217e-16,0.92707138370002,0.0,0.0,"[0.8693999680292323, 0.9847427993708077]",-0.016979871244831496,0.524345779694058,0.5992523196503521,"[-0.06968095432831528, 0.035721211838652296]",-0.03650843525709419,0.0,0.0,"[-0.04012389572463813, -0.03289297478955026]",0.00019981940894831012,0.5696274342218355,0.6751993907520522,"[-0.000494738233709746, 0.0008943770516063663]"
sym_forced,24.0,1.1102230246251565e-16,1.2688263138573217e-16,0.8967766327911514,9.667863767326423e-07,1.5468582027722278e-06,"[0.5550231452192578, 1.238530120363045]",-3.1175465498491204,0.0,0.0,"[-3.1986876742937453, -3.0364054254044954]",0.041476388906225535,0.0,0.0,"[0.035421428075016914, 0.047531349737434156]",0.009002637763462926,0.35469294156288766,0.6751993907520522,"[-0.010197770800841614, 0.028203046327767465]"
asym_damped,24.0,1.1102230246251565e-16,1.2688263138573217e-16,1.1268622024202657,0.0,0.0,"[0.9592340134991031, 1.2944903913414283]",0.1477053757022618,0.027603588911568666,0.04416574225850987,"[0.01660386905998873, 0.2788068823445349]",-0.05015302950619165,5.81756864903582e-14,1.5513516397428853e-13,"[-0.06163851916153983, -0.03866753985084347]",0.0004887653340278743,0.5907994669080456,0.6751993907520522,"[-0.0013079990506224153, 0.002285529718678164]"
asym_forced,24.0,1.1102230246251565e-16,1.2688263138573217e-16,0.28227393805091433,0.06236973403271806,0.06236973403271806,"[-0.014847148592234738, 0.5793950246940633]",-3.1415926535897927,0.0,0.0,"[-3.3010321889250562, -2.982153118254529]",0.06097548519358297,1.344280242676632e-11,2.688560485353264e-11,"[0.04503720670312542, 0.07691376368404051]",0.01496026465003408,0.4553080989604801,0.6751993907520522,"[-0.02462112450194098, 0.054541653802009135]"
