test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor)
asym,24.0,3.0,1.1102230246251565e-16,2.220446049250313e-16,0.8871315327490188,0.9962679453075332,1.4115913550094843,"[1.2896952686775265, 1.5426032112351353]",0.0,0.0,3.1384479161988126,"[3.028761116719427, 3.2445567124734267]",0.0,0.0,-0.5204103416083112,"[-0.6362333403360614, -0.4036307515417279]",0.0,0.0
asym_damped,24.0,3.0,1.1102230246251565e-16,2.220446049250313e-16,0.279298137260801,0.7447950326954693,0.4305538001707915,"[0.32544155368842176, 0.567179798126619]",8.608669332943464e-13,1.3773870932709542e-12,-0.16352634433100022,"[-0.30917061668075974, -0.023897480339694965]",0.02216455587978028,0.02955274117304037,0.15421337741600383,"[0.043082603499726826, 0.253308888802414]",0.005768465405409318,0.009229544648654909
asym_forced,24.0,3.0,1.6653345369377348e-15,2.6645352591003757e-15,0.5382566120251122,0.9962679453075332,8.229102503651452,"[5.8797074708695, 11.094527109945906]",2.587168257406347e-10,3.449557676541796e-10,1.7044476659115793,"[0.7102075044072635, 3.8358206489964473]",0.004405138252922658,0.008810276505845316,-3.3359206785184927,"[-5.220699178198279, -1.0713331905363535]",0.002994164006606681,0.005988328013213362
asym_lin_comp,24.0,2.0,5.657010934712048e-05,7.145698022794166e-05,0.26165819100453847,0.7447950326954693,1.6458217317797956,"[1.0518442146823688, 2.3553439555179416]",3.49411532374333e-07,3.9932746557066625e-07,0.3836579616996545,"[0.05802580243585914, 0.7278662231831878]",0.021522061941191772,0.02955274117304037,2.7003274203941734,"[2.193139515635872, 3.1596518366130315]",0.0,0.0
sym,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.9962679453075332,0.9962679453075332,0.9704234736693447,"[0.8917677938952944, 1.0493795642525778]",0.0,0.0,3.125868966634889,"[3.073677473966473, 3.1819609075676]",0.0,0.0,-0.0033743887734882794,"[-0.052511797322231664, 0.04553384256462804]",0.8889559591704885,0.8889559591704885
sym_damped,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.7490290235137829,0.9962679453075332,0.33980623089793605,"[0.2763139383309289, 0.40601314546572065]",0.0,0.0,-0.06289474781961513,"[-0.17184021691682777, 0.05208765877074191]",0.2942359029444819,0.2942359029444819,0.008385593421111392,"[-0.03166233782735163, 0.047561898505374525]",0.6937948457404959,0.8889559591704885
sym_forced,24.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,0.7850698178612479,0.9962679453075332,5.923971349829098,"[4.598580501816423, 7.306212742391024]",0.0,0.0,-3.0692636935972355,"[-3.185362663685012, -2.9496808510132415]",0.0,0.0,-0.06776883066751438,"[-0.8404048246415214, 0.7106163165278896]",0.8696007318493997,0.8889559591704885
sym_lin_comp,24.0,1.0,0.0003636052547617563,0.000396660277921916,0.7147193923635587,0.9962679453075332,1.1421698412923313,"[0.6349272029576487, 1.694397731256378]",1.7599443263405234e-05,1.7599443263405234e-05,0.45913165908319264,"[-0.026982041361579945, 0.9326163998945407]",0.06432250392878869,0.07351143306147279,2.2927383942613853,"[1.9246434281924942, 2.6683552495787968]",0.0,0.0
