test,period,n_components,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),amplification,p(amplification),q(amplification),CI(amplification),lin_comp,p(lin_comp),q(lin_comp),CI(lin_comp)
sym,24.0,1.0,1.1102230246251565e-16,1.2688263138573217e-16,0.8627697018647631,0.0,0.0,"[0.719523262626718, 0.9923975641452324]",3.1384479161988126,0.0,0.0,"[-3.181828982834492, -3.096074050740523]",0.004788295037495762,0.05530234554974789,0.08848375287959662,"[-0.00011160240822076506, 0.00968819248321229]",0.0034332415752605064,0.07758086797937147,0.15516173595874294,"[-0.0003895082816313838, 0.007255991432152397]"
sym_lin_comp,24.0,1.0,6.661338147750939e-16,6.661338147750939e-16,1.0707616973867278,7.363709642049798e-09,1.4727419284099597e-08,"[0.7410855209427563, 1.415266595702181]",-0.17610529389492324,0.23748992310823303,0.27141705498083774,"[-0.4779340546638644, 0.11992998530928967]",-0.0013599755078413226,0.9098553999791319,0.9098553999791319,"[-0.025230046049080943, 0.022510095033398295]",0.09337641370091967,5.262457136723242e-14,2.1049828546892968e-13,"[0.0735277245414441, 0.11322510286039525]"
asym,24.0,3.0,1.1102230246251565e-16,1.2688263138573217e-16,1.4421939185480697,0.0,0.0,"[1.197251910218569, 1.6270951095892374]",3.1384479161988126,0.0,0.0,"[-3.2520821075381954, -3.027071343912969]",-0.0009021797632526564,0.6722358312233856,0.768269521398155,"[-0.005140668519573382, 0.003336308993068069]",0.0011930515489828675,0.6313676041134273,0.6313676041134273,"[-0.003748388480736323, 0.006134491578702058]"
asym_lin_comp,24.0,3.0,1.1102230246251565e-16,1.2688263138573217e-16,1.5878756007425248,5.494947781237158e-07,6.279940321413895e-07,"[1.0001278719171987, 2.1673342405022336]",0.09434212172942313,0.21964391357694635,0.27141705498083774,"[-0.06107186832308664, 0.2622584995366426]",-0.005273749059441382,0.4566218370299451,0.6088291160399267,"[-0.019334909508832765, 0.00878741138995]",0.10165977420470765,0.0,0.0,"[0.08524571781276978, 0.11807383059664552]"
sym_damped,24.0,1.0,1.1102230246251565e-16,1.2688263138573217e-16,0.9270701913400867,0.0,0.0,"[0.8525037553483222, 0.9553958001072279]",-0.012578949563923025,0.4317659257245663,0.4317659257245663,"[-0.07117200514320002, 0.030669596666965816]",-0.03650843525709419,0.0,0.0,"[-0.04012389572463813, -0.03289297478955026]",0.00019981940894831012,0.5696274342218355,0.6313676041134273,"[-0.000494738233709746, 0.0008943770516063663]"
sym_forced,24.0,1.0,1.1102230246251565e-16,1.2688263138573217e-16,0.896775429106028,1.317443982795652e-07,1.7565919770608693e-07,"[0.5952922840826997, 1.2307958988115186]",-3.1195794918529276,0.0,0.0,"[-3.1796471711931993, -3.0544872555152525]",0.041476388906225535,0.0,0.0,"[0.035421428075016914, 0.047531349737434156]",0.009002637763462926,0.35469294156288766,0.4729239220838502,"[-0.010197770800841614, 0.028203046327767465]"
asym_damped,24.0,3.0,1.1102230246251565e-16,1.2688263138573217e-16,1.0535289127822247,1.7702892707305296e-08,2.832462833168847e-08,"[0.7395305001124091, 1.43990385510384]",-0.13836844520315417,0.06223478062163612,0.0995756489946178,"[-0.24626272527331514, 0.006263857092626973]",-0.033708562161447124,0.0,0.0,"[-0.039332310470096304, -0.028084813852797944]",0.0012043455544006399,0.06109421722050423,0.15516173595874294,"[-5.708676715342328e-05, 0.002465777875954703]"
asym_forced,24.0,3.0,1.1102230246251565e-16,1.2688263138573217e-16,1.407823040668045,0.00014314042157814733,0.00014314042157814733,"[0.7501631854633237, 2.252200793534155]",-2.9812110466497734,0.000570700594789253,0.001141401189578506,"[1.2228976478489468, 4.288864755842279]",0.03675241759378483,0.0,0.0,"[0.030488670032487574, 0.04301616515508209]",0.0167045954453476,0.19875586720239458,0.31800938752383134,"[-0.008910551438009076, 0.04231974232870428]"
