test,period,n_components,p,q,p_reject,q_reject,RSS,period(est),amplitude,acrophase,mesor,ME,resid_SE
test1,24,1,1.1102230246251565e-16,1.3322676295501878e-16,0.8719556097486888,0.964497803437604,14.514722011293706,24,0.8693714254035311,-6.263268637036709,-0.02786971480304934,0.8950481839336438,0.44899149353631207
test2,24,1,1.1102230246251565e-16,1.3322676295501878e-16,0.964497803437604,0.964497803437604,16.64092915700859,24,1.0336605819586162,-3.1709435359056135,-0.1647517275543242,0.9583647696957927,0.4807535918426026
test3,24,3,1.1102230246251565e-16,1.3322676295501878e-16,0.07231106638966034,0.14462213277932068,32.37385772985603,24,1.2920861885682933,-6.289474781961548,0.47259476757972774,0.9507179179127666,0.48087611806736985
test4,24,3,1.1102230246251565e-16,1.3322676295501878e-16,0.06635052690781751,0.14462213277932068,43.92670078185427,24,1.2730294250946532,-4.690899941546321,-0.5400422210366795,1.1074362747430289,0.5601447566851057
