test,p,q,amplitude1,p(amplitude1),q(amplitude1),amplitude2,p(amplitude2),q(amplitude2),d_amplitude,p(d_amplitude),q(d_amplitude),acrophase1,p(acrophase1),q(acrophase1),acrophase2,p(acrophase2),q(acrophase2),d_acrophase,p(d_acrophase),q(d_acrophase),period
test1 vs. test2,7.1127339883647684e-37,7.1127339883647684e-37,1.0397664641196367,5.809835451809812e-44,1.1619670903619624e-43,0.9321109595441398,1.0200528495134777e-35,1.0200528495134777e-35,-0.10765550457549689,0.30845664309641907,0.3720133718953813,-6.141726378411045,0.0,0.0,-3.188852407382742,0.0,0.0,2.952873971028303,1.1649851710635028e-153,1.1649851710635028e-153,24.0
test3 vs. test4,1.6433183026055168e-49,3.2866366052110335e-49,0.9761462675070297,4.1098109131858326e-38,4.1098109131858326e-38,1.0716330217167365,1.4523722821222523e-45,2.9047445642445045e-45,0.09548675420970676,0.3720133718953813,0.3720133718953813,-0.043010153798136184,0.5863185150640049,0.5863185150640049,-3.049739441283481,0.0,0.0,-3.006729287485345,4.8114678997284605e-174,9.622935799456921e-174,24.0
