test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,period(est),amplitude,acrophase,mesor,ME,resid_SE
test1,24,1,4.440892098500626e-16,6.661338147750939e-16,0.6195624451742086,0.6623355380058398,19.072282718963624,0.626601261832906,0.6162290746615979,-55.07344002814748,24,0.907585585784286,-6.18465020226219,-0.004486480207889221,1.025990624895214,0.514677389770681
test2,24,1,1.1102230246251565e-16,1.9032394707859825e-16,0.6623355380058398,0.6623355380058398,20.204235447903915,0.6559291578698173,0.6463716344773123,-57.23554541025514,24,0.9953390039053267,-3.1709435359056135,0.04354098864391476,1.0559984114130487,0.5297304797922125
test3,24,3,1.1102230246251565e-16,1.9032394707859825e-16,0.32306406695269063,0.6461281339053813,33.86863398733044,0.7525707182463443,0.7419666061711876,-100.69013537286416,24,1.288435544778062,-0.026206144924839785,0.4784111901897238,0.9724186788564926,0.49185243131981915
test4,24,3,1.1102230246251565e-16,1.9032394707859825e-16,0.31931493461643967,0.6461281339053813,31.45821711235862,0.78918745959872,0.7801526364386652,-95.2636957501213,24,1.4452076951701864,-3.197149680830454,-0.560099147147264,0.9371767477872731,0.47402695155714675
