test,p,q,amplitude,p(amplitude),q(amplitude),acrophase,p(acrophase),q(acrophase),acrophase[h],period
test1,9.673448591669803e-25,1.9346897183339606e-24,1.0397664641196374,4.96127278911002e-59,1.984509115644008e-58,0.14145892876854038,0.0,0.0,-0.5403333061919405,24.0
test2,2.550284835601034e-16,2.550284835601034e-16,0.9321109595441409,1.260954166442914e-28,1.260954166442914e-28,3.0943328997968447,2.475595823951896e-254,3.3007944319358614e-254,-11.819481037789112,24.0
test3,1.339033359559729e-23,1.7853778127463052e-23,0.9761462675070304,1.229948437319763e-35,1.639931249759684e-35,6.24017515338145,0.5993450662566603,0.5993450662566603,-23.83571331407721,24.0
test4,2.005383899283963e-29,8.021535597135852e-29,1.0716330217167362,5.171702864478326e-49,1.0343405728956652e-48,3.233445865896105,0.0,0.0,-12.350853426658054,24.0
