"test","p","amplitude1","p_amplitude1","amplitude2","p_amplitude2","d_amplitude","p_d_amplitude","acrophase1","p_acrophase1","acrophase2","p_acrophase2","d_acrophase","p_d_acrophase"
"test1 vs. test2",7.11273398836473e-37,1.03976646411964,5.80983545181044e-44,0.932110959544143,1.02005284951308e-35,-0.107655504575493,0.308456643096437,-0.141458928768542,0.0579871293911989,0.0472597537929485,0.570432754187655,0.18871868256149,0.0914840727067135
"test3 vs. test4",1.64331830260549e-49,0.976146267507029,4.1098109131857e-38,1.07163302171674,1.45237228212228e-45,0.0954867542097073,0.372013371895378,0.0430101537981362,0.586318515064005,-0.0918532123063119,0.201954156807988,-0.134863366104448,0.20711941412801
